Station Name,Business Name,Business Address,Business Latitude,Business Longitude,Business Distance,Business Category
GALINDO,Bar Terraco,"Calle Manuel Andrés, 10, Sestao Vizcaya",43.30771,-3.00725,212,Bar
GALINDO,María del Pilar Barberó Cruz,"Calle Juan Tomás de Gandarías, 7, 48910 Sestao Vizcaya",43.307178,-3.006374,228,Bakery
GALINDO,Bar Palas,"Calle Villar y Villate, 11, 48910 Sestao País Vasco",43.30815,-3.007449,231,Bar
GALINDO,Bar Mayte,"Calle Manuel Andrés, 6, 48910 Sestao País Vasco",43.307915,-3.007476,243,Bar
GALINDO,Barrika,"Calle Juan Tomás de Gandarías, 1, 48910 Sestao Vizcaya",43.307638,-3.005925,286,Bar
GALINDO,Viajes Barcelo,"Calle Villar y Villate, 8, Sestao Vizcaya",43.308497,-3.006971,298,Travel Agency
GALINDO,Bar Viuda de Baldo,"Calle Alameda las Llanas, 13, Sestao País Vasco",43.309111,-3.00813,336,Wine Bar
GALINDO,Cafetería - Restaurante Castañares,"Alameda las Llanas, 13, 48910 Sestao País Vasco",43.309173,-3.008102,336,Bar
GALINDO,La Barrita de Pan,"Alda. las Llanas, 15, 48910 Sestao Vizcaya",43.309203,-3.008327,337,Bakery
GALINDO,Bar Ganbara,"Plaza de San Pedro, 2, 48910 Sestao Vizcaya",43.308067,-3.00525,346,Arts and Entertainment
GALINDO,Rosalia Peralta Barcala,"Calle Lorenzo Llona, 9, 48910 Sestao Vizcaya",43.308384,-3.005505,364,Physician
GALINDO,Bar Alba Delri,"Gran Vía, 3, 48910 Sestao Vizcaya",43.309694,-3.007146,412,Bar
GALINDO,Bar Tribuna,"Alda las Llanas, 35, 48910 Sestao País Vasco",43.310411,-3.010814,505,Bar
GALINDO,Bar Bost,"Vicente Blasco Ibañez Kalea, 22, Sestao Vizcaya",43.307698,-3.002542,535,Bar
GALINDO,Bar Vega,"Calle de José María Usandizaga, 4, 48910 Sestao País Vasco",43.309642,-3.003734,564,Bar
GALINDO,Bar Ninfas,"Calle Vicente Blasco Ibáñez, 30 Bajo, 48910 Sestao País Vasco",43.307698,-3.002063,574,Bar
GALINDO,Bar Fernando,"Chavarri, 83, 48910 Sestao País Vasco",43.311237,-3.004446,664,Bar
