Station Name,Latitude,Longitude,No. of bikes,Business Name,Business Address,Business Latitude,Business Longitude,Distance,Category,Review Count,Rating
GALINDO,43.306193,-3.008859,18,Duplex,"Calle Iparragirre, 1",43.3079105935486,-3.00791547140412,159.14008600585882,restaurants,1,4.0
GALINDO,43.306193,-3.008859,18,Alameda,Calle Alameda las Llanas 17,43.3093307,-3.0084291,27.28184338002532,bars,1,1.0
GALINDO,43.306193,-3.008859,18,Taberna la Venta del Casco,"C/ Gran Vía, 3 Trasera, Plaza del Orfeón",43.3079833984375,-2.99651765823364,69.42669900968414,nightlife,1,3.0
GALINDO,43.306193,-3.008859,18,Edur-Mendi,"Gran Via Kalea, 3",43.3095622,-3.006886,100.76934555984684,restaurants,3,3.5
GALINDO,43.306193,-3.008859,18,Telepizza,Calle Villar y Villate 0,43.3087074,-3.0069886,113.38571094132834,restaurants,3,3.5
GALINDO,43.306193,-3.008859,18,Jai Alai,Del Conde Valmaseda 3 Plaza,43.3089485,-3.0062001,69.42669900968414,food,2,3.5
GALINDO,43.306193,-3.008859,18,MC Donald's,Explanada Vega Vieja 0,43.3093903,-3.0072372,69.42669900968414,restaurants,3,2.5
GALINDO,43.306193,-3.008859,18,El VI,"Calle Villar y Villate, 2",43.3085289,-3.0072401,104.92682086645848,nightlife,1,4.0
GALINDO,43.306193,-3.008859,18,Bar Mayte,Calle Manuel Andres 6,43.307962,-3.0074457,161.48346031199358,bars,2,2.5
GALINDO,43.306193,-3.008859,18,cha cha,mendebal 2 calle,43.309066,-3.006335,69.42669900968414,bars,1,3.0
GALINDO,43.306193,-3.008859,18,Chino Mandarin,"Manuel Andrés, 12",43.3076515,-3.00704,204.32115725998128,restaurants,2,3.0
GALINDO,43.306193,-3.008859,18,Kokolo,"Alberto Arrue Kalea, 8",43.309685,-3.009899,151.27028214942956,restaurants,1,2.0
GALINDO,43.306193,-3.008859,18,Ongi Etorri,"Calle Villar Y Villate, 4",43.3084949,-3.0074214,108.126109429935,restaurants,1,1.0
GALINDO,43.306193,-3.008859,18,Abarsiolo Meson,Calle Abatxolo 21,43.3152,-3.01412,814.2665896823634,restaurants,1,5.0
GALINDO,43.306193,-3.008859,18,Bodega la Palmera C B,Calle Chavarri 93,43.3118186,-3.005872,329.34574205919483,bars,1,1.0
GALINDO,43.306193,-3.008859,18,Taberna la Venta del Kasko,Gran Vía 3,43.3079833984375,-2.99651765823364,85.83896471504279,tabernas,3,2.5
GALINDO,43.306193,-3.008859,18,Comic,"Vicente Blasco Ibañez Kalea, 20",43.30779433,-3.00243795,160.35263020727194,restaurants,1,1.0
GALINDO,43.306193,-3.008859,18,Las Cepas,Vicente Blasco Ibáñez 14,43.30771476,-3.00393373,278.45434911997535,nightlife,1,4.0
GALINDO,43.306193,-3.008859,18,Oh la la,Calle Vicente Blasco Ibañez 12,43.3075917,-3.0040866,295.0726981092077,restaurants,4,3.5
GALINDO,43.306193,-3.008859,18,Hamburguesería La Estación,"Calle Vicente Blasco Ibáñez, 28",43.3077164,-3.0021784,135.31124444690604,restaurants,1,3.0
GALINDO,43.306193,-3.008859,18,Ferrara,"Plaza Casco, 1",43.3079833984375,-2.99651765823364,319.14339508911985,restaurants,2,3.0
GALINDO,43.306193,-3.008859,18,Restaurante Manhattan,Poligono Industrial Ibarzaharra 0,43.2989448,-3.0068224,1116.72470411048,restaurants,1,3.0
GALINDO,43.306193,-3.008859,18,Pizzeria Piccola,Calle Autonomia 18,43.3096095,-2.9991172,188.9125736741487,restaurants,1,3.0
KASKO,43.309336,-3.008092,12,Duplex,"Calle Iparragirre, 1",43.3079105935486,-3.00791547140412,159.14008600585882,restaurants,1,4.0
KASKO,43.309336,-3.008092,12,Alameda,Calle Alameda las Llanas 17,43.3093307,-3.0084291,27.28184338002532,bars,1,1.0
KASKO,43.309336,-3.008092,12,Taberna la Venta del Casco,"C/ Gran Vía, 3 Trasera, Plaza del Orfeón",43.3079833984375,-2.99651765823364,69.42669900968414,nightlife,1,3.0
KASKO,43.309336,-3.008092,12,Edur-Mendi,"Gran Via Kalea, 3",43.3095622,-3.006886,100.76934555984684,restaurants,3,3.5
KASKO,43.309336,-3.008092,12,Telepizza,Calle Villar y Villate 0,43.3087074,-3.0069886,113.38571094132834,restaurants,3,3.5
KASKO,43.309336,-3.008092,12,Jai Alai,Del Conde Valmaseda 3 Plaza,43.3089485,-3.0062001,69.42669900968414,food,2,3.5
KASKO,43.309336,-3.008092,12,MC Donald's,Explanada Vega Vieja 0,43.3093903,-3.0072372,69.42669900968414,restaurants,3,2.5
KASKO,43.309336,-3.008092,12,El VI,"Calle Villar y Villate, 2",43.3085289,-3.0072401,104.92682086645848,nightlife,1,4.0
KASKO,43.309336,-3.008092,12,Bar Mayte,Calle Manuel Andres 6,43.307962,-3.0074457,161.48346031199358,bars,2,2.5
KASKO,43.309336,-3.008092,12,cha cha,mendebal 2 calle,43.309066,-3.006335,69.42669900968414,bars,1,3.0
KASKO,43.309336,-3.008092,12,Chino Mandarin,"Manuel Andrés, 12",43.3076515,-3.00704,204.32115725998128,restaurants,2,3.0
KASKO,43.309336,-3.008092,12,Kokolo,"Alberto Arrue Kalea, 8",43.309685,-3.009899,151.27028214942956,restaurants,1,2.0
KASKO,43.309336,-3.008092,12,Ongi Etorri,"Calle Villar Y Villate, 4",43.3084949,-3.0074214,108.126109429935,restaurants,1,1.0
KASKO,43.309336,-3.008092,12,Abarsiolo Meson,Calle Abatxolo 21,43.3152,-3.01412,814.2665896823634,restaurants,1,5.0
KASKO,43.309336,-3.008092,12,Bodega la Palmera C B,Calle Chavarri 93,43.3118186,-3.005872,329.34574205919483,bars,1,1.0
KASKO,43.309336,-3.008092,12,Taberna la Venta del Kasko,Gran Vía 3,43.3079833984375,-2.99651765823364,85.83896471504279,tabernas,3,2.5
KASKO,43.309336,-3.008092,12,Comic,"Vicente Blasco Ibañez Kalea, 20",43.30779433,-3.00243795,160.35263020727194,restaurants,1,1.0
KASKO,43.309336,-3.008092,12,Las Cepas,Vicente Blasco Ibáñez 14,43.30771476,-3.00393373,278.45434911997535,nightlife,1,4.0
KASKO,43.309336,-3.008092,12,Oh la la,Calle Vicente Blasco Ibañez 12,43.3075917,-3.0040866,295.0726981092077,restaurants,4,3.5
KASKO,43.309336,-3.008092,12,Hamburguesería La Estación,"Calle Vicente Blasco Ibáñez, 28",43.3077164,-3.0021784,135.31124444690604,restaurants,1,3.0
KASKO,43.309336,-3.008092,12,Ferrara,"Plaza Casco, 1",43.3079833984375,-2.99651765823364,319.14339508911985,restaurants,2,3.0
KASKO,43.309336,-3.008092,12,Restaurante Manhattan,Poligono Industrial Ibarzaharra 0,43.2989448,-3.0068224,1116.72470411048,restaurants,1,3.0
KASKO,43.309336,-3.008092,12,Pizzeria Piccola,Calle Autonomia 18,43.3096095,-2.9991172,188.9125736741487,restaurants,1,3.0
KUETO,43.307856,-3.000458,12,Duplex,"Calle Iparragirre, 1",43.3079105935486,-3.00791547140412,159.14008600585882,restaurants,1,4.0
KUETO,43.307856,-3.000458,12,Alameda,Calle Alameda las Llanas 17,43.3093307,-3.0084291,27.28184338002532,bars,1,1.0
KUETO,43.307856,-3.000458,12,Taberna la Venta del Casco,"C/ Gran Vía, 3 Trasera, Plaza del Orfeón",43.3079833984375,-2.99651765823364,69.42669900968414,nightlife,1,3.0
KUETO,43.307856,-3.000458,12,Edur-Mendi,"Gran Via Kalea, 3",43.3095622,-3.006886,100.76934555984684,restaurants,3,3.5
KUETO,43.307856,-3.000458,12,Telepizza,Calle Villar y Villate 0,43.3087074,-3.0069886,113.38571094132834,restaurants,3,3.5
KUETO,43.307856,-3.000458,12,Jai Alai,Del Conde Valmaseda 3 Plaza,43.3089485,-3.0062001,69.42669900968414,food,2,3.5
KUETO,43.307856,-3.000458,12,MC Donald's,Explanada Vega Vieja 0,43.3093903,-3.0072372,69.42669900968414,restaurants,3,2.5
KUETO,43.307856,-3.000458,12,El VI,"Calle Villar y Villate, 2",43.3085289,-3.0072401,104.92682086645848,nightlife,1,4.0
KUETO,43.307856,-3.000458,12,Bar Mayte,Calle Manuel Andres 6,43.307962,-3.0074457,161.48346031199358,bars,2,2.5
KUETO,43.307856,-3.000458,12,cha cha,mendebal 2 calle,43.309066,-3.006335,69.42669900968414,bars,1,3.0
KUETO,43.307856,-3.000458,12,Chino Mandarin,"Manuel Andrés, 12",43.3076515,-3.00704,204.32115725998128,restaurants,2,3.0
KUETO,43.307856,-3.000458,12,Kokolo,"Alberto Arrue Kalea, 8",43.309685,-3.009899,151.27028214942956,restaurants,1,2.0
KUETO,43.307856,-3.000458,12,Ongi Etorri,"Calle Villar Y Villate, 4",43.3084949,-3.0074214,108.126109429935,restaurants,1,1.0
KUETO,43.307856,-3.000458,12,Abarsiolo Meson,Calle Abatxolo 21,43.3152,-3.01412,814.2665896823634,restaurants,1,5.0
KUETO,43.307856,-3.000458,12,Bodega la Palmera C B,Calle Chavarri 93,43.3118186,-3.005872,329.34574205919483,bars,1,1.0
KUETO,43.307856,-3.000458,12,Taberna la Venta del Kasko,Gran Vía 3,43.3079833984375,-2.99651765823364,85.83896471504279,tabernas,3,2.5
KUETO,43.307856,-3.000458,12,Comic,"Vicente Blasco Ibañez Kalea, 20",43.30779433,-3.00243795,160.35263020727194,restaurants,1,1.0
KUETO,43.307856,-3.000458,12,Las Cepas,Vicente Blasco Ibáñez 14,43.30771476,-3.00393373,278.45434911997535,nightlife,1,4.0
KUETO,43.307856,-3.000458,12,Oh la la,Calle Vicente Blasco Ibañez 12,43.3075917,-3.0040866,295.0726981092077,restaurants,4,3.5
KUETO,43.307856,-3.000458,12,Hamburguesería La Estación,"Calle Vicente Blasco Ibáñez, 28",43.3077164,-3.0021784,135.31124444690604,restaurants,1,3.0
KUETO,43.307856,-3.000458,12,Ferrara,"Plaza Casco, 1",43.3079833984375,-2.99651765823364,319.14339508911985,restaurants,2,3.0
KUETO,43.307856,-3.000458,12,Restaurante Manhattan,Poligono Industrial Ibarzaharra 0,43.2989448,-3.0068224,1116.72470411048,restaurants,1,3.0
KUETO,43.307856,-3.000458,12,Pizzeria Piccola,Calle Autonomia 18,43.3096095,-2.9991172,188.9125736741487,restaurants,1,3.0
LABE GARAIA/ALTO HORNO,43.310936,-3.000576,16,Duplex,"Calle Iparragirre, 1",43.3079105935486,-3.00791547140412,159.14008600585882,restaurants,1,4.0
LABE GARAIA/ALTO HORNO,43.310936,-3.000576,16,Alameda,Calle Alameda las Llanas 17,43.3093307,-3.0084291,27.28184338002532,bars,1,1.0
LABE GARAIA/ALTO HORNO,43.310936,-3.000576,16,Taberna la Venta del Casco,"C/ Gran Vía, 3 Trasera, Plaza del Orfeón",43.3079833984375,-2.99651765823364,69.42669900968414,nightlife,1,3.0
LABE GARAIA/ALTO HORNO,43.310936,-3.000576,16,Edur-Mendi,"Gran Via Kalea, 3",43.3095622,-3.006886,100.76934555984684,restaurants,3,3.5
LABE GARAIA/ALTO HORNO,43.310936,-3.000576,16,Telepizza,Calle Villar y Villate 0,43.3087074,-3.0069886,113.38571094132834,restaurants,3,3.5
LABE GARAIA/ALTO HORNO,43.310936,-3.000576,16,Jai Alai,Del Conde Valmaseda 3 Plaza,43.3089485,-3.0062001,69.42669900968414,food,2,3.5
LABE GARAIA/ALTO HORNO,43.310936,-3.000576,16,MC Donald's,Explanada Vega Vieja 0,43.3093903,-3.0072372,69.42669900968414,restaurants,3,2.5
LABE GARAIA/ALTO HORNO,43.310936,-3.000576,16,El VI,"Calle Villar y Villate, 2",43.3085289,-3.0072401,104.92682086645848,nightlife,1,4.0
LABE GARAIA/ALTO HORNO,43.310936,-3.000576,16,Bar Mayte,Calle Manuel Andres 6,43.307962,-3.0074457,161.48346031199358,bars,2,2.5
